locus tag	Name	Early Exponential Phase r1 (EEP)	Early Exponential Phase r2 (EEP)	Early Exponential Phase r3 (EEP)	Mid Exponential Phase r1 (MEP)	Mid Exponential Phase r2 (MEP)	Mid Exponential Phase r3 (MEP)	Stationary Phase r1 (Stat)	Stationary Phase r2 (Stat)	Stationary Phase r3 (Stat)
BT_0001	BT_0001	0	0.050565517	0.175835661	0.048738153	0	0	0.430295666	0.607534365	0.762464285
BT_0002	BT_0002	0	0.050565517	0.08791783	0.048738153	0.166314541	0.045234249	0.2581774	0.046733413	0.142962054
BT_0003	BT_0003	0.049982749	0	0	0.048738153	0.009239697	0.045234249	0	0	0
BT_0004	BT_0004	0.049982749	0	0	0	0	0	0.043029567	0	0.047654018
BT_0005	BT_0005	0.049982749	0	0	0	0	0	0	0	0
BT_0006	BT_0006	0.049982749	0	0	0	0	0	0	0.046733413	0.047654018
BT_0008	BT_0008	1.199585981	1.365268967	1.055013965	1.413406441	1.385954504	0.85945073	1.161798299	1.308535555	0.905426339
BT_0009	BT_0009	0	0.050565517	0.08791783	0.194952613	0	0	0.086059133	0.046733413	0.095308036
BT_0010	BT_0010	0	0.050565517	0.043958915	0.048738153	0.11087636	0.045234249	0.043029567	0.046733413	0.047654018
BT_0011	BT_0011	0.149948248	0.101131035	0.043958915	0.097476306	0	0.045234249	0	0.046733413	0
BT_0012	BT_0012	0.049982749	0.050565517	0.08791783	0.048738153	0	0	0	0.093466825	0.095308036
BT_0013	BT_0013	0	0.101131035	0	0	0	0	0.043029567	0.046733413	0.047654018
BT_0014	BT_0014	0	0.202262069	0.08791783	0.048738153	0.221752721	0.045234249	0.1290887	0.140200238	0.047654018
BT_0015	BT_0015	0	0	0	0.048738153	0	0	0.086059133	0	0.047654018
BT_0022	BT_0022	0	0	0	0.07310723	0	0	0.172118266	0.186933651	0.047654018
BT_0027	BT_0027	0.024991375	0.075848276	0	0	0	0.022617124	0.043029567	0.046733413	0
BT_0028	BT_0028	0.049982749	0.050565517	0	0	0.11087636	0.045234249	0	0	0
BT_0029	BT_0029	1.824370347	1.415834484	0.923137219	1.510882747	1.995774486	1.085621975	0.344236533	0.233667063	0.381232143
BT_0030	BT_0030	0.699758489	0.505655173	0.791260474	0.974763063	1.108763603	0.723747983	0.043029567	0.093466825	0.142962054
BT_0031	BT_0031	0.399861994	0.353958621	0.307712406	0.633595991	0.443505441	0.45234249	0.1290887	0	0.190616071
