Locus Tag	Name	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0001	thrL	1272.2	2726.4	2839.1	1483.5	3222.1	3270.9	2037.3	3277.7
SL1344_0002	thrA	11.3	14.2	9.5	11	34.6	17.5	18.1	13.2
SL1344_0003	thrB	30	19	17.2	28.9	47.6	49	35.6	27.2
SL1344_0004	thrC	33.7	42.4	24.4	30.5	66.5	41.2	41.4	34.4
SL1344_0005	yaaA	60.7	43.9	19.5	37.1	62.3	87.1	59.5	50.7
SL1344_0006	yaaJ	26.6	29.6	13.7	22.7	31.6	24.8	25.2	20.8
SL1344_0007	talB	469.3	595.7	139.5	274.8	253.6	595.1	575.4	463.6
SL1344_0008	mog	63.2	128.4	128.5	40.5	63.1	110	56.2	72
SL1344_0009	yaaH	59.6	81.5	42.7	62.5	14.7	22.6	15.7	10.1
SL1344_0010	htgA	2.3	4.4	3.2	3	3.8	1.6	2.4	1.8
SL1344_0011	yaaI	7.4	6.1	5.7	8.7	14.7	5.5	10.4	12.3
SL1344_0012	dnaK	783.5	1202.6	63.5	306.8	1100.5	624.1	1212.2	157.9
tpke11	tpke11	345.9	341.5	36.6	159.2	559.3	276.8	485.6	112.5
SL1344_0013	dnaJ	308.8	435	48.8	147.9	303.7	269.7	421.1	74.1
STnc890		436.9	382.3	143.2	200.8	844	436.8	490.7	492.8
SL1344_0014		19.7	52.9	11.2	18.7	17.6	16.3	28.1	9.8
SL1344_0015		6.4	19.2	6.6	9.4	15.3	5.7	10.8	9.9
SL1344_0016		1.7	0.4	0.9	1	7.3	1.5	3.2	0.5
STnc3200		14	8.5	26.7	22.1	17.4	14.3	27	110.7
STnc3210		10.2	19.1	3.8	20.2	90.1	13.4	16.6	9.8
SL1344_0017		0.8	0.9	1.1	1.5	16.1	1	4.3	1.3
SL1344_0018	chiA	5.2	5	1.3	3.1	8.2	3.4	3.5	3.9
SL1344_0019		1.7	3.1	1.5	1.1	3.1	2.4	1.9	2.7
SL1344_0020		2.7	1.5	2.1	1.9	5.6	2.8	3.2	5.7
SL1344_0021	bcfA	2.7	2.3	1.5	3	9.4	1.5	2.2	2.1
SL1344_0022	bcfB	1.6	1.5	2.1	1.4	1.2	1.2	2.8	2.5
SL1344_0023	bcfC	1.6	2.5	1.9	1.4	2	2.2	2.6	2
SL1344_0024	bcfD	3.7	3.7	2.3	2.1	2.4	2.7	3.3	2.1
SL1344_0025	bcfE	3	1.1	0	0.5	1.9	1.1	2	2.1
SL1344_0026	bcfF	2.1	1.6	0	0.8	0.7	3.4	1.2	0.8
SL1344_0027	bcfG	2.1	2.4	2.1	1.9	1.2	4.5	2.9	1
SL1344_0028	bcfH	8.7	5.6	5.2	8.2	4.8	5.8	7.7	3.9
SL1344_0029		10.6	8.2	11.9	11.1	13.9	16.2	10.9	7.4
SL1344_0030		0.6	1.4	0.4	1.8	4.9	0	1.3	2.5
SL1344_0031		4.2	6.6	5	4.7	11.2	6	7.7	4.1
SL1344_0032		1.6	1.9	8.2	2.1	12.8	2.9	2.2	1.3
SL1344_0033		5.1	4.6	7.3	5.3	7.3	6.1	6.7	7.8
SL1344_0034		7.5	7	4.4	6.5	13.4	6.7	13.6	17.3
SL1344_0035		1.2	2.2	1.3	1.6	4	1.4	2.4	2.1
SL1344_0036		5.5	6	4.7	5.7	19.4	7.3	6.7	6.9
STnc1010		260.4	238.4	368.3	213.1	345.1	305.8	230.1	463.9
SL1344_0037		4.7	5	3.8	3	3.7	3.6	3.9	6.5
SL1344_0038		2.4	2.6	1.8	2.6	3.8	3.7	2.9	3.4
SL1344_0039		10.3	9.2	7.2	7.7	14.8	10.7	12.9	9.5
SL1344_0040	nhaA	50.7	76.2	32.3	34.1	104.1	72.5	59.4	28
SL1344_0041	nhaR	53.2	39.6	18.2	26	68.2	59.5	49.7	31.7
SL1344_0042		4.3	3.7	1.5	4.7	3.4	5.1	4.7	4.3
SL1344_0043		0.9	1.5	1.2	1.1	3.8	0.8	1.5	1.5
SL1344_0044	rpsT	7528.2	6282.9	11239.9	13933	3440.4	9964.7	6723.7	967.7
SL1344_0045	yaaY	98	69.1	40.2	70.2	86.8	168.8	85.8	50.9
SL1344_0046	ribF	216.6	195	72.2	129	98.7	246	203.9	91.7
SL1344_0047	ileS	161.1	165.2	46.7	99.5	69.4	227.7	171	62.4
SL1344_0048	lspA	307.4	245	204.2	194.4	87.8	351.1	307.4	141.6
SL1344_0049	fkpB	182.1	150.2	32.4	87.8	51.5	217.2	162.8	64.1
SL1344_0050	ispH	127.3	124.1	63.5	94.2	49.6	147.7	128.4	56.6
SL1344_0051		25.5	30.9	15.8	13.5	18.8	29.7	24.8	22.2
SL1344_0052	rihC	24.4	24.3	13.9	13.4	12.2	32.3	23.9	21.9
SL1344_0053	citB2	6.1	8.5	1.9	5.7	3	8.8	8.6	12.9
SL1344_0054	citA2	4.9	2.3	4.1	6.5	10.9	8.4	7.5	14.5
STnc3220		65.8	251.9	150	63.5	136.8	68.5	76	118.9
SL1344_0055		0.2	0.2	0.1	0	0	0.4	0	0
SL1344_0056		0	0.1	0	0	0.3	0.1	0	0
SL1344_0057	oadG	1.1	0.9	0	0	0	1	0	1.2
STnc3090		10.3	4.7	12.3	22.4	5.1	0.9	13.6	8.6
STnc4160		33.8	14.8	24.6	23.2	32.9	0.8	36.1	45.9
SL1344_0058		0.9	0.9	0.2	1	1.4	1	1.3	1.3
SL1344_0059	citC2	1.2	0.4	0.3	0.9	1.3	1.9	1.3	1.1
SL1344_0060	citD2	1.2	0.7	0	0.5	1.2	2	0.8	0.5
SL1344_0061	citE2	1.4	0.5	0.2	0.8	0.4	0.9	1.1	1.5
SL1344_0062	citF2	0.9	0.8	0.8	0.5	0.6	2.1	1.4	0.6
SL1344_0063	citX2	2.2	2.6	0.9	2	0.6	2.3	4.4	0.8
SL1344_0064	citG2	2.4	3	1.6	1.5	2.5	2.2	2.8	3.4
SL1344_0065	dapB	48.4	54.2	27.9	35.6	32.5	77.1	61.9	136.1
