Locus Tag	Name	EEP	MEP	LEP	ESP	LSP
SL1344_0001	thrL	964	1272.2	1179.4	703.2	178.2
SL1344_0002	thrA	28.7	11.3	11.5	11.8	2
SL1344_0003	thrB	38.8	30	27.7	30.9	1.3
SL1344_0004	thrC	44.4	33.7	31.1	36.7	3
SL1344_0005	yaaA	43.8	60.7	42	37.6	2.8
SL1344_0006	yaaJ	25.9	26.6	20	12.1	4.4
SL1344_0007	talB	284.1	469.3	367.8	198.6	25.6
SL1344_0008	mog	81.4	63.2	58.6	51	23.1
SL1344_0009	yaaH	270.2	59.6	17.5	6	2.5
SL1344_0010	htgA	2.6	2.3	2.7	1.6	0.7
SL1344_0011	yaaI	8.3	7.4	7	3.2	1.2
SL1344_0012	dnaK	322.3	783.5	104.1	95.9	8.2
tpke11	tpke11	107.8	345.9	52.8	70	9.3
SL1344_0013	dnaJ	163.9	308.8	63.7	52.6	7.6
STnc890		62.1	436.9	88.4	248.3	126.4
SL1344_0014		25	19.7	9.4	5.5	1.4
SL1344_0015		10.6	6.4	5.1	6.5	7.5
SL1344_0016		2.9	1.7	1.6	0.7	1.1
STnc3200		12.5	14	25.9	41.1	26.6
STnc3210		8.8	10.2	39.2	12.8	61.6
SL1344_0017		4.1	0.8	0.9	0.9	2.8
SL1344_0018	chiA	3.8	5.2	5.7	4	5.4
SL1344_0019		2.4	1.7	2.9	1.9	0.9
SL1344_0020		1.5	2.7	3.3	2.8	1
SL1344_0021	bcfA	3.7	2.7	4	4.3	1.4
SL1344_0022	bcfB	1.1	1.6	2	1.5	1.3
SL1344_0023	bcfC	2.7	1.6	2.6	1.8	0.3
SL1344_0024	bcfD	4.7	3.7	3.2	1.9	0.9
SL1344_0025	bcfE	1.7	3	2.9	1.1	0.1
SL1344_0026	bcfF	1.8	2.1	2.1	0.9	0.4
SL1344_0027	bcfG	3.3	2.1	1.9	1.5	0.2
SL1344_0028	bcfH	8.5	8.7	7.1	6	0.9
SL1344_0029		15.3	10.6	10.9	6.7	19.5
SL1344_0030		2	0.6	1.1	0.3	1.7
SL1344_0031		6.1	4.2	4	2.6	2.4
SL1344_0032		3.1	1.6	2.9	2.1	0.4
SL1344_0033		5	5.1	5.8	5.7	4.1
SL1344_0034		8.6	7.5	10.4	10.9	3.1
SL1344_0035		0.8	1.2	2.2	2	1.7
SL1344_0036		6.1	5.5	10.4	11.2	9.1
STnc1010		156.6	260.4	337.7	470.5	1233
SL1344_0037		5.4	4.7	5.1	3.6	0.7
SL1344_0038		2.3	2.4	3.8	2.7	0.4
SL1344_0039		11.1	10.3	10.5	11.2	6.8
SL1344_0040	nhaA	83.9	50.7	96.6	66.6	9.8
SL1344_0041	nhaR	91.5	53.2	85.6	53.4	3.7
SL1344_0042		4.6	4.3	5.5	2.8	0.4
SL1344_0043		1.7	0.9	3.3	2.1	1.2
SL1344_0044	rpsT	12204.9	7528.2	8737.4	1357.5	47.6
SL1344_0045	yaaY	89.1	98	73.6	17.9	2.8
SL1344_0046	ribF	190.7	216.6	160.4	76.4	2.8
SL1344_0047	ileS	134.2	161.1	105	47	4.4
SL1344_0048	lspA	249.7	307.4	194.5	102.8	8.8
SL1344_0049	fkpB	203	182.1	109.2	43.2	2.2
SL1344_0050	ispH	137.3	127.3	84.4	41.7	2.5
SL1344_0051		26	25.5	22.1	14	2.1
SL1344_0052	rihC	29.5	24.4	24.3	16	0.7
SL1344_0053	citB2	5.3	6.1	9.1	7.1	0.4
SL1344_0054	citA2	4.3	4.9	6.3	8.4	9.3
STnc3220		90.5	65.8	71.4	56.3	30
SL1344_0055		0.1	0.2	0.4	0.1	0
SL1344_0056		0	0	0.1	0	0
SL1344_0057	oadG	0.6	1.1	2.8	0.9	0.2
STnc3090		6.9	10.3	7.3	8.6	1.3
STnc4160		24	33.8	27.9	59.5	92
SL1344_0058		1.4	0.9	1.5	0.7	0.9
SL1344_0059	citC2	1	1.2	1.4	1	0.3
SL1344_0060	citD2	0	1.2	2.7	1	0.2
SL1344_0061	citE2	1.2	1.4	1.7	0.8	0.3
SL1344_0062	citF2	1	0.9	1.7	0.7	0.1
SL1344_0063	citX2	2.2	2.2	2.5	1.4	0.1
SL1344_0064	citG2	2.2	2.4	2.4	1.4	0.4
SL1344_0065	dapB	40.3	48.4	55.2	69.1	28.8
DapZ	DapZ	558.2	1600.9	10172.7	31651.9	4273.7
STnc3230		30.1	36.5	131.1	131.1	121.3
SL1344_0066A		0.9	2.2	2.2	1	0.4
SL1344_0067	carA	22.1	27.6	9.6	26.4	16.5
SL1344_0068	carB	14.7	26.3	11.1	15.3	1
SL1344_0069	caiF	13.5	13.3	7.9	45.4	6.1
SL1344_0070	caiE	2.3	0.9	2.8	1.3	0.1
SL1344_0071	caiD	1.2	1.9	3.4	2.5	0.2
SL1344_0072	caiC	3.4	2.9	3.4	3.3	3.6
SL1344_0073	caiB	3.7	2.5	2.9	2.8	1.5
SL1344_0074	caiA	3.5	3.4	5.6	8.5	0.6
SL1344_0075	caiT	0.7	0.3	1.2	0.4	0.1
SL1344_0076	fixA	0.8	1.8	2.3	1.8	0.5
SL1344_0077	fixB	0.8	0.7	0.4	0.7	0.2
SL1344_0078	fixC	0.9	0.8	1.4	1.2	0.1
SL1344_0079	fixX	3.7	2.4	2.4	2.5	0.6
SL1344_0080	yaaU	7.1	6.2	6	3.7	0.9
SL1344_0081		5.3	8.6	23.2	33.5	73.7
SL1344_0082		10.3	9.9	14.7	22	12.1
STnc470		66.9	60.1	139.2	378.2	623
SL1344_0083		12.6	7.3	20.4	35.5	13.3
STnc4170		79	51.2	62.8	47.6	23
SL1344_0083A		1.6	8.1	6.3	20.3	74.3
SL1344_0084		11.2	8.1	6.7	5	41.6
SL1344_0085		4.6	4.2	8.9	3	1.4
SL1344_0086	yabF	6.6	6.6	16.9	19.4	24.2
SL1344_0087	kefC	5.7	6.4	10.4	10.2	3
SL1344_0088	folA	135.9	124.5	122.1	61.1	15.3
SL1344_0089	apaH	67.3	57.8	50.2	36.5	15.9
STnc3240		68.8	85.9	80.7	80.8	15
SL1344_0090	apaG	227.9	174.8	94.2	63.9	5.2
SL1344_0091	ksgA	151.5	169.4	133.3	89.2	27.4
SL1344_0092	pdxAa	216.5	239.4	205.6	142.2	100.3
SL1344_0093	surA	150.2	155.3	114.1	70.9	5
SL1344_0094	imp	129.9	130.7	104.8	67.4	6.9
SL1344_0095	djlA	62.9	64.1	54.5	38.8	14
STnc4180		108.8	237.3	131.7	90.9	2.2
SL1344_0096	rluA	121.7	51.1	33	13.4	0.5
SL1344_0097	hepA	64.2	25.8	22.9	11.1	0.5
SL1344_0098	polB	16.9	15.3	12.6	9.3	6
SL1344_0099		16.7	13.5	21.5	11.6	4.4
SL1344_0099A		0	0	1.6	0.9	0
SL1344_0100		4.7	3.9	2.8	1.3	3
SL1344_0101	araD	1.1	2	6.9	14.9	2.6
SL1344_0102	araA	0.9	1	2.3	1.6	1.1
SL1344_0103	araB	0.5	0.2	1.3	0.7	0.2
SL1344_0104	araC	13.2	13.1	22.3	20.7	1.1
SL1344_0105	yabI	62.3	39.8	41.1	16.6	1.3
SL1344_0106	thiQ	22	23.3	11.7	5.9	1
SL1344_0107	thiP	29.3	28.2	14.1	8.2	0.3
SL1344_0108	tbpA	36.3	39.4	26.9	12.8	2.7
SroA	SroA	5485.9	25326.6	18703.3	9883.3	2800.1
SL1344_0109	yabN	6.4	6.2	6.3	4.6	7.9
SgrS	SgrS	166.6	517	334.7	702.9	164.8
SL1344_0109A	sgrT	0	0	0	0	0
SL1344_0110	leuD	7.6	4.5	8.5	5.1	0.3
SL1344_0111	leuC	4.1	3.4	3.6	2.6	0.4
SL1344_0112	leuB	7.3	5.3	7.5	5	0.6
SL1344_0113	leuA	2.8	1.4	3.3	1.7	0.3
SL1344_0114	leuL	326.6	541.2	942.9	1676.7	679.4
SL1344_0115	leuO	1.6	0.9	2	1.9	1.3
SL1344_0116	ilvI	7.3	8.7	9.6	9	2.2
SL1344_0117	ilvH	18.9	25.9	27.4	20.5	4.4
STnc1500		26.2	37.2	58.5	134.3	50.5
SL1344_0118	fruR	42.6	52.2	72.7	77.7	2.1
SL1344_0119	mraZ	459	381.3	352.1	177.4	7.9
SL1344_0120	mraW	241.5	216.4	189.9	115.4	4.6
SL1344_0121	ftsL	207.9	174.7	134.3	122.1	3.8
SL1344_0122	ftsI	205.3	210.5	207.8	183.1	8.3
SL1344_0123	murE	142.7	135.3	101.1	56.9	1.1
SL1344_0124	murF	125.4	122.9	81.5	45.9	0.9
SL1344_0125	mraY	123	115.9	90.5	53	1.4
SL1344_0126	murD	139.3	138.4	104.9	70.9	2.1
SL1344_0127	ftsW	129.9	111	93.9	42.9	1
SL1344_0128	murG	122.7	123.1	103.7	74.4	1.3
SL1344_0129	murC	126.6	117.6	104.9	58.9	1.2
SL1344_0130	ddl	174.7	181.7	171.7	190.9	10.5
SL1344_0131	ftsQ	184.2	180.9	166.3	129.2	3.3
SL1344_0132	ftsA	228.5	209	190.1	123.1	4.2
SL1344_0133	ftsZ	168.9	183.2	178.5	136.7	2
SL1344_0134	lpxC	642.2	573.6	508.6	344.2	54.9
SL1344_0135	yacA	148.5	124.8	54.8	38	2.9
SL1344_0136	secA	153.8	135.9	78.4	40.5	2.5
SL1344_0137	mutT	22.4	22.3	38.2	17.7	1.8
SL1344_0138	yacG	109.8	112.4	60.5	37.9	2.8
SL1344_0139	yacF	64.3	74.2	50.1	32.2	1.2
SL1344_0140	coaE	80.7	102.2	71.2	34.9	3.1
SL1344_0141	guaC	140.3	90.9	123.7	54.7	2.6
SL1344_0142	pilC	1	1	1.4	0.4	0.2
SL1344_0143	pilB	0.1	0.6	0.7	0.4	0.2
SL1344_0144	pilA	1.4	1.1	0.9	0.3	0.2
SL1344_0145	nadC	20.2	22.3	16.2	9.4	1
SL1344_0146	ampD	29.3	38	27.5	21.9	2.1
SL1344_0147	ampE	25.7	47.3	43.5	30.1	4.7
SL1344_0148		10.9	11.3	10.4	4.8	0.7
SL1344_0149		2.2	2.2	3.8	2.5	1
SL1344_0150	aroP	26	15.7	15	10.2	3.5
SL1344_0151	pdhR	647.4	886.4	76.9	84.1	8.3
tp2	tp2	1	0.4	1.2	1.8	1.7
SL1344_0152	aceE	507.3	871.2	74.1	62.4	3.7
SL1344_0153	aceF	570	973.9	98.8	83.3	5.7
SL1344_0154	lpdA	582.2	989	557.2	225.7	10.5
SL1344_0155		20.4	10.1	7.2	1.8	0
SL1344_0156		1.5	1	1.2	0.8	0.4
SL1344_0157	yacH	1.7	2.1	2.6	2.8	1.3
SL1344_0159	acnB	46.4	133.1	261.5	98.4	6.6
SL1344_0160		90.4	152	196.8	95.5	33
SL1344_0161	yacL	53	58.7	69.1	66.1	25.8
SL1344_0162	kdgT	4.2	25.1	7.2	8.4	1.2
SL1344_0163		3.1	34	8.6	9.5	0.7
SL1344_0164	pdxAb	39.6	59.9	32.2	20.8	3.7
SL1344_0165		58.1	113.4	57.2	49.8	5
SL1344_0166	speD	261.5	123.5	83.9	16	0.6
SL1344_0167	speE	154.5	80.2	57.9	15.1	0.8
SL1344_0168	yacC	128.6	108.7	78.8	34.8	13
SL1344_0169	cueO	12.4	18.7	12.3	8.9	1.4
SL1344_0170	gcd	9.3	6.4	21.5	25.1	39.9
SL1344_0171	hpt	306.1	259.5	171.5	77.2	36.4
SL1344_0172	yadF	388.9	406.7	195.8	74.9	15.4
SL1344_0173	yadG	32.8	26.5	24.7	14	1.8
SL1344_0174	yadH	29.1	17.1	19.1	10.7	1.1
SL1344_0175	stiH	3.1	2.5	2.9	4.6	3.9
SL1344_0176	stiC	1.2	1	1.4	0.8	0.1
SL1344_0177	stiB	0.4	0.4	1	0.6	0
SL1344_0178	stiA	2.3	2.2	1.8	2.1	3.6
SL1344_0179	yadI	6.2	3.7	6.9	18.7	2
SL1344_0180	yadE	24.7	21.3	20.5	9.3	2.7
STnc4190		44.1	54.7	34.7	23.7	3.2
SL1344_0181	panD	180.8	236.5	164.9	118.5	9.1
SL1344_0182	panC	55	62.6	35.3	20.5	5.4
SL1344_0183	panB	48	48.2	24.9	15.6	3.1
SL1344_0184	folK	61.7	44.8	36.2	15.9	0.4
SL1344_0185	pcnB	212.6	167.1	146.8	51.3	1.2
SL1344_0186	yadB	41.2	34.8	41.7	22.6	2
SL1344_0187	dksA	320.9	459.6	519.1	405.2	30.7
SL1344_0188	sfsA	34.5	46	47.9	57.2	43.1
SL1344_0189	ligT	53.2	52.4	38	37	10.1
SL1344_0190	hrpB	37.8	38	30.7	20.3	2
SL1344_0191	mrcB	70.4	66.1	64.5	36.4	3.9
STnc3250		177.1	139.8	11.7	21.3	48.3
SL1344_0192	fhuA	223.4	139.2	4.9	4.8	11.9
SL1344_0193	fhuC	98.8	73.4	3.5	1.6	0.6
SL1344_0194	fhuD	104.6	80.7	3.8	2.7	1
SL1344_0195	fhuB	67.2	56.3	3.6	1.9	0.4
SL1344_0196	stfA	2.2	2.7	3	2.5	3.8
SL1344_0197	stfC	1.5	1.1	1.9	2	3.4
SL1344_0198	stfD	0.4	0.6	1	0.7	0.1
SL1344_0199	stfE	1	0.6	0.8	0.9	0.1
SL1344_0200	stfF	0.3	2.3	2.5	2.7	1
SL1344_0201	stfG	1.7	1.5	1.5	1.2	0
SL1344_0202		8.9	9	10.5	7.8	8.7
STnc1510		58.3	98.2	112.6	163.8	49.5
SL1344_0203	hemL	81.1	89.7	68.1	37.2	3.7
SL1344_0204	clcA	18.9	25.9	42	35.2	10.6
SL1344_0205	yadR	995.4	893.1	437.4	149.6	50.4
SL1344_0206	yadS	21.5	17.6	21.6	12.8	0.7
SL1344_0207	btuF	45.6	33.2	30.9	14.7	2.6
SL1344_0208	mtn	73.2	57.9	48.1	25.1	2.7
SL1344_0209	dgt	17.6	17	20.2	18.8	6.7
SL1344_0210	htrA	29.8	35.8	45.6	34	7.8
STnc3100		83.6	127.7	134.2	151.2	245
SL1344_0211	cdaR	5.5	5.6	21.4	9.1	0.5
SL1344_0212	yaeH	118.8	294.9	676.5	1069.3	157.9
SL1344_0213		16.4	11.8	18.4	16.1	8.7
STnc3110		38.8	42.1	88.7	122.6	239.6
SL1344_0214	dapD	102.6	173.1	120	90.1	9.1
SL1344_0215	glnD	26.7	28.2	16.2	8.3	0.5
SL1344_0216	map	134.7	123.7	74.1	45	4.9
t44	t44	2910.2	2494.4	2160.6	454.8	7.2
SL1344_0217	rpsB	2705.4	1975.2	1433	391.8	5.6
SL1344_0218	tsf	1839.8	1372.9	856.1	319.7	5.5
SL1344_0219	pyrH	406.5	306	207.7	61	0.7
SL1344_0220	frr	931.1	873.5	646.1	324.9	98.8
sRNA1		386.5	774.6	577.8	618.9	589.7
SL1344_0221	dxr	94.1	69.3	58.5	22.7	22.7
STnc920		473.9	653.2	430	334.8	25.6
SL1344_0222	uppS	335.9	194.2	189.9	67.9	3.6
SL1344_0223	cdsA	202.1	118.8	111.7	49.1	4.3
SL1344_0224	yaeL	320.5	250.8	219.9	119.5	5.6
SL1344_0225	yaeT	346.1	344.2	262.8	120.9	5.7
SL1344_0226	hlpA	1018.4	1232.2	669.1	329.1	9.2
SL1344_0227	lpxD	407.4	393.3	291	173.5	11.8
SL1344_0228	fabZ	363.5	285.7	272.3	152.7	6.3
SL1344_0229	lpxA	312.1	220.4	200.1	106.5	10.4
SL1344_0230	lpxB	148.5	109.4	89.8	66.5	1.6
SL1344_0231	rnhB	153.3	94.7	74.8	54.3	2.2
SL1344_0232	dnaE	154.1	98.1	89.3	33.3	2
SL1344_0233	accA	176.3	148.1	146.1	73.3	2.9
SL1344_0234		18.6	12.4	14.3	9.5	2.7
SL1344_0235	ldcC	20.8	24.4	23.5	16.2	2.5
SL1344_0236	yaeR	32.9	46.4	46.3	29.4	8.6
SL1344_0237	mesJ	32.9	35.1	23.2	13.6	0.8
SL1344_0238	rof	168.3	309.6	282.3	395	39.6
SL1344_0239	yaeP	162.5	270.4	270.3	381	60.4
SL1344_0240	yaeQ	53.7	41.9	32.9	20.8	2.6
SL1344_0241	yaeJ	50.6	58.7	44.5	36.5	74.9
SL1344_0242	cutF	36.3	38.9	34.3	25.3	10.9
SL1344_0243	proS	120.1	125	82.8	36.1	1.6
SL1344_0244	yaeB	77	76.8	53.6	33.1	4
SL1344_0245	rcsF	136.5	125.4	109.3	64	8.2
