Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0001	thrL	4403.4	2046	2528	6979.2
SL1344_0002	thrA	59.5	15.7	20.9	350
SL1344_0003	thrB	149.7	128.6	47.6	283.5
SL1344_0004	thrC	165.6	134.2	58.4	209.2
SL1344_0005	yaaA	43.7	65.2	357.6	36.2
SL1344_0006	yaaJ	19.3	47.7	27	16.7
SL1344_0007	talB	243.9	184.9	74.5	157
SL1344_0008	mog	15.7	25.9	31	20.1
SL1344_0009	yaaH	5.3	4.7	2.9	2.8
SL1344_0010	htgA	2.7	4.4	1.7	3.2
SL1344_0011	yaaI	4	6.6	3.8	7.7
SL1344_0012	dnaK	334.8	156.6	154.8	274.7
tpke11	tpke11	166.4	66.2	106.8	148.7
SL1344_0013	dnaJ	121.1	71.1	51.1	157.9
STnc890		275.5	374.1	106.4	1571.9
SL1344_0014		12.9	5.4	0.8	7.4
SL1344_0015		5.7	11.5	8.9	7.8
SL1344_0016		1.2	0.9	0.3	1.1
STnc3200		35.3	32.2	27.8	79.2
STnc3210		67.3	378.5	6.3	86.3
SL1344_0017		0.6	1.1	1.8	1.6
SL1344_0018	chiA	2.7	4.4	2.1	5.7
SL1344_0019		1.9	3.8	0.9	2.6
SL1344_0020		6.3	7.9	2.7	3.5
SL1344_0021	bcfA	2.6	2	0.3	2.9
SL1344_0022	bcfB	0.8	0.9	0.8	4.3
SL1344_0023	bcfC	1.6	2.9	0.3	2.4
SL1344_0024	bcfD	2.4	2.8	0.8	2
SL1344_0025	bcfE	1.3	1.5	0.5	1.6
SL1344_0026	bcfF	1.7	2.6	0.3	1.1
SL1344_0027	bcfG	2.3	3.5	1.4	2.5
SL1344_0028	bcfH	12.1	7.6	6.1	6.8
SL1344_0029		8.7	12.5	3.3	12.3
SL1344_0030		1	1.1	0.2	1.7
SL1344_0031		2.8	2.7	2	8.1
SL1344_0032		2.3	1.4	0.8	1.7
SL1344_0033		5.7	6.1	5.4	9.6
SL1344_0034		8.9	9.7	8.8	13.7
SL1344_0035		3.4	11.5	4.9	7.6
SL1344_0036		6.4	11.6	5.5	11.2
STnc1010		347.6	756.3	610.7	605.3
SL1344_0037		3	3.5	1.7	2.9
SL1344_0038		1.9	2.7	1.2	4.1
SL1344_0039		14.3	20.5	10.6	18
SL1344_0040	nhaA	83.2	100.3	40.4	59.2
SL1344_0041	nhaR	43.1	53	11.7	38.9
SL1344_0042		3.1	2.1	0.6	1.9
SL1344_0043		1.3	1.6	0.2	2.2
SL1344_0044	rpsT	3640.7	935.1	131.1	611
SL1344_0045	yaaY	46.9	41.9	7.6	28.7
SL1344_0046	ribF	96.8	55.6	19.1	46.2
SL1344_0047	ileS	91.5	44.7	27.4	44.1
SL1344_0048	lspA	156.1	85.2	61.1	117.8
SL1344_0049	fkpB	78.9	60.7	8.1	47.5
SL1344_0050	ispH	75.7	67.5	16	73.2
SL1344_0051		13	11.6	6.4	10.8
SL1344_0052	rihC	17.1	14.2	4.6	10.4
SL1344_0053	citB2	7.2	8.6	2.1	7.2
SL1344_0054	citA2	12.8	23.6	4.9	10.3
STnc3220		41.3	72.5	155.7	112
SL1344_0055		0.2	0.1	0	0
SL1344_0056		0	0	0	0
SL1344_0057	oadG	0.4	0.9	1.1	1.3
STnc3090		215.2	167.6	24.6	15.5
STnc4160		102.3	30.9	60.3	54.1
SL1344_0058		0.9	1.2	0.7	0.7
SL1344_0059	citC2	0.7	0.5	0.2	0.8
SL1344_0060	citD2	0.4	0	0.3	0.4
SL1344_0061	citE2	1.1	0.3	0.1	0.1
SL1344_0062	citF2	1.1	0.7	0.2	0.7
SL1344_0063	citX2	1.5	1	0.2	1
SL1344_0064	citG2	2.1	3.1	1.9	2.1
SL1344_0065	dapB	405.7	372.4	150.8	424.6
DapZ	DapZ	4379.7	4164.1	10784	12730.3
STnc3230		121.5	489.7	60.3	161
SL1344_0066A		2.6	2	1	2.5
SL1344_0067	carA	170.1	31.2	15.7	14.3
SL1344_0068	carB	148	25.6	36.6	9
SL1344_0069	caiF	9.3	7.4	5.7	16.4
SL1344_0070	caiE	1.2	1.1	0.3	1.5
SL1344_0071	caiD	1.5	0.8	0.3	1.4
SL1344_0072	caiC	2.5	6	1.3	5.2
SL1344_0073	caiB	1.6	1.6	2.2	2.7
SL1344_0074	caiA	2.4	2.6	3.1	3.2
SL1344_0075	caiT	0.2	0.1	0.1	0.2
SL1344_0076	fixA	1.7	1.6	0.6	1.9
SL1344_0077	fixB	0.8	0.1	0.1	0.7
SL1344_0078	fixC	0.9	0.7	0.3	0.9
SL1344_0079	fixX	2.7	2.1	0.6	0.7
SL1344_0080	yaaU	7.6	10.3	2.7	7.3
SL1344_0081		46	34.1	6.7	17.1
SL1344_0082		110	165.5	44.4	23
STnc470		3462	6459.5	2033.5	1488.2
SL1344_0083		431.1	583.4	17.5	99.1
STnc4170		96.8	130.9	98.1	333.7
SL1344_0083A		236.1	255.9	17.6	65.9
SL1344_0084		4.7	7.8	7.6	12.2
SL1344_0085		5.2	8.3	5.5	19.9
SL1344_0086	yabF	21.8	57.1	9.4	32
SL1344_0087	kefC	10.8	20.1	2.2	12.3
SL1344_0088	folA	77.5	98.2	14.8	41.6
SL1344_0089	apaH	47.7	67.2	20.3	45.7
STnc3240		98	136.8	67.8	127.4
SL1344_0090	apaG	98.8	82.9	10.1	44.9
SL1344_0091	ksgA	125.2	142.7	27.4	79.4
SL1344_0092	pdxAa	174.7	332.1	270.6	255.7
SL1344_0093	surA	109.2	102.9	22.2	80.1
SL1344_0094	imp	93.7	93.6	18.5	79.4
SL1344_0095	djlA	38.8	48.3	22.1	39
STnc4180		105.3	79.7	64.7	60.2
SL1344_0096	rluA	18.8	16.5	5.4	7.8
SL1344_0097	hepA	14.7	15.3	2.9	7.9
SL1344_0098	polB	7.2	13.3	61.4	17.5
SL1344_0099		9.8	17.2	14.8	24.5
SL1344_0099A		0.7	1.1	0	1
SL1344_0100		2.3	3.3	2.8	6.7
SL1344_0101	araD	6.4	6.4	9.9	14.1
SL1344_0102	araA	1.8	2.2	1	2.4
SL1344_0103	araB	0.5	1.1	0.4	0.3
SL1344_0104	araC	8.1	9.5	2.1	3.6
SL1344_0105	yabI	15	17.5	1.3	5
SL1344_0106	thiQ	24	28.9	4.4	7.9
SL1344_0107	thiP	40.8	39.5	6.9	11.2
SL1344_0108	tbpA	55.8	54.9	7.9	14.4
SroA	SroA	4627.9	1753.8	3561.7	3516.8
SL1344_0109	yabN	3.9	5	3.1	4.5
SgrS	SgrS	359.2	400.3	499.8	756.2
SL1344_0109A	sgrT	0	0	0	0
SL1344_0110	leuD	167.9	24.2	78.8	533.3
SL1344_0111	leuC	89.5	14.7	71.7	358
SL1344_0112	leuB	140.2	24.1	94.2	357.6
SL1344_0113	leuA	53.9	12.3	33.7	105
