locus_tag	gene	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)
SL1344_0001	thrL	2515.43	3125.61	2889.16	2843.4
SL1344_0002	thrA	33.79	62.03	52.48	49.44
SL1344_0003	thrB	268.68	197.28	278.16	248.04
SL1344_0004	thrC	213.51	242.28	69.56	175.11
SL1344_0005	yaaA	139.93	31.61	12.86	61.47
SL1344_0006	yaaJ	46.55	72.63	48.65	55.94
SL1344_0007	talB	288.11	237.19	62.57	195.96
SL1344_0008	mog	84.61	20.71	0	35.11
SL1344_0009	yaaH	14.7	10.79	17.56	14.35
SL1344_0010	htgA	0	17.14	0	5.71
SL1344_0011	yaaI	0	0	0	0
SL1344_0012	dnaK	143.3	159.42	72.62	125.12
SL1344_0013	dnaJ	36.52	16.09	0	17.54
SL1344_0014		0	0	0	0
SL1344_0015		0	0	0	0
SL1344_0016		0	0	0	0
SL1344_0017		0	0	0	0
SL1344_0018	chiA	4.42	9.73	0	4.72
SL1344_0019		0	0	6.63	2.21
SL1344_0020		0	0	0	0
SL1344_0021	bcfA	0	0	0	0
SL1344_0022	bcfB	0	0	0	0
SL1344_0023	bcfC	0	6.99	0	2.33
SL1344_0024	bcfD	0	6.07	0	2.02
SL1344_0025	bcfE	0	0	0	0
SL1344_0026	bcfF	0	0	0	0
SL1344_0027	bcfG	0	0	0	0
SL1344_0028	bcfH	0	7.23	23.52	10.25
SL1344_0029		25.29	0	0	8.43
SL1344_0030		0	0	0	0
SL1344_0031		0	0	0	0
SL1344_0032		0	0	0	0
SL1344_0033		14.53	3.56	0	6.03
SL1344_0034		5.3	0	6.33	3.87
SL1344_0035		0	0	0	0
SL1344_0036		16.72	0	0	5.57
STnc1010	STnc1010	0	0	0	0
SL1344_0037		27.97	0	0	9.32
SL1344_0038		0	0	0	0
SL1344_0039		4.85	3.56	5.8	4.74
SL1344_0040	nhaA	71.36	62.87	17.05	50.43
SL1344_0041	nhaR	9.26	47.57	22.11	26.31
SL1344_0042		4.08	0	0	1.36
SL1344_0043		0	0	0	0
SL1344_0044	rpsT	5726.11	5412.29	2154.02	4430.81
SL1344_0045	yaaY	38.7	0	0	12.9
SL1344_0046	ribF	124.18	97.69	42.38	88.09
SL1344_0047	ileS	123.31	112.09	91.18	108.86
SL1344_0048	lspA	282.89	109.96	59.63	150.83
SL1344_0049	fkpB	55.59	13.61	0	23.07
SL1344_0050	ispH	131.37	64.31	156.93	117.54
SL1344_0051		13.84	30.49	0	14.78
SL1344_0052	rihC	18.09	6.64	0	8.24
SL1344_0053	citB2	12.13	0	0	4.04
SL1344_0054	citA2	15.42	11.32	0	8.91
SL1344_0055		0	0	0	0
SL1344_0056		0	0	0	0
SL1344_0057	oadG	0	0	0	0
SL1344_0058		0	0	0	0
SL1344_0059	citC2	0	0	0	0
SL1344_0060	citD2	0	0	0	0
SL1344_0061	citE2	0	0	0	0
SL1344_0062	citF2	0	0	0	0
SL1344_0063	citX2	15.1	0	0	5.03
SL1344_0064	citG2	0	0	0	0
SL1344_0065	dapB	111.48	119.06	36.32	88.95
DapZ	DapZ	4214.16	3887.64	1419.82	3173.87
SL1344_0066A		0	52.82	0	17.61
SL1344_0067	carA	43.49	63.86	43.29	50.21
SL1344_0068	carB	64.46	68.15	89.32	73.98
SL1344_0069	caiF	0	0	0	0
SL1344_0070	caiE	0	0	0	0
SL1344_0071	caiD	53	7.78	0	20.26
SL1344_0072	caiC	5.36	3.93	0	3.1
SL1344_0073	caiB	0	4.81	23.46	9.42
SL1344_0074	caiA	14.57	10.7	0	8.42
SL1344_0075	caiT	0	0	0	0
SL1344_0076	fixA	0	7.93	0	2.64
SL1344_0077	fixB	8.84	0	0	2.95
SL1344_0078	fixC	0	0	0	0
SL1344_0079	fixX	0	0	0	0
SL1344_0080	yaaU	18.63	4.56	0	7.73
SL1344_0081		0	0	0	0
SL1344_0082		720.02	528.68	979.54	742.75
