Locus Tag	Name	FDR	logFC	Fitness
clpP	clpP	0.881683254	-0.132404747	0
ecnB	ecnB	0.015019402	1.82677614	1
mgtC	mgtC	1.22e-58	-15	2
ncRNA0008	CsrC	0.626562854	0.423551892	0
ncRNA0025	InvR	1.22e-29	-15	2
ncRNA0026	IsrA	3.75e-26	-15	2
ncRNA0028	IsrC	0.078980948	1.392172253	0
ncRNA0051	OmrA	0.93562979	0.061316493	0
ncRNA0063	RybD	0.572951139	0.432785531	0
ncRNA0064	RydB	7.62e-37	-6.600963057	2
ncRNA0164	STnc440	4.02e-13	-5.553892939	2
ncRNA0179	STnc520	4.19e-71	-15	2
ncRNA0199	STnc780	0.00057011	-2.323551747	2
ncRNA0238	STnc1380	7.68e-09	-2.926473809	2
ncRNA0284	STnc2130	0.666720801	-0.350876053	0
ncRNA0285	STnc2160	1.51e-33	-15	2
SL1344_0002	thrA	0.007978862	1.903599219	1
SL1344_0004	thrC	0.521448163	-0.406936365	0
SL1344_0005	yaaA	0.008761562	-1.454663473	2
SL1344_0007	talB	0.012943314	2.210774885	1
SL1344_0008	mog	0.226885965	0.919702531	0
SL1344_0011	yaaI	0.002550087	-1.589715518	2
SL1344_0012	dnaK	1.18e-28	-15	2
SL1344_0013	dnaJ	5.22e-31	-15	2
SL1344_0014	SL1344_0014	6.36e-63	-15	2
SL1344_0015	SL1344_0015	2.48e-29	-15	2
SL1344_0016	SL1344_0016	8.86e-08	-3.955794383	2
SL1344_0018	chiA	0.011656097	2.07302001	1
SL1344_0019	SL1344_0019	0.007037564	-1.531246158	2
SL1344_0020	SL1344_0020	4.14e-64	-15	2
SL1344_0021	bcfA	7.48e-33	-15	2
SL1344_0022	bcfB	6.57e-27	-15	2
SL1344_0023	bcfC	0.047749829	-1.283422873	2
SL1344_0024	bcfD	0.203565422	-0.958528011	0
SL1344_0028	bcfH	0.042516969	1.553155907	1
SL1344_0029	SL1344_0029	8.83e-08	-3.871894715	2
SL1344_0033	SL1344_0033	8.99e-34	-15	2
SL1344_0034	SL1344_0034	2.99e-28	-15	2
SL1344_0035	SL1344_0035	2.24e-34	-15	2
SL1344_0036	SL1344_0036	8.63e-15	-4.178186804	2
SL1344_0037	SL1344_0037	5.75e-07	-2.631236776	2
SL1344_0038	SL1344_0038	2.45e-26	-15	2
SL1344_0039	SL1344_0039	5.44e-10	-3.164894396	2
SL1344_0040	nhaA	1.07e-25	-15	2
SL1344_0041	nhaR	0.313961988	-0.786971233	0
SL1344_0042	SL1344_0042	2.77e-18	-4.901436455	2
SL1344_0043	SL1344_0043	4.5e-31	-15	2
SL1344_0045	yaaY	2.48e-30	-15	2
SL1344_0049	fkpB	0.111750323	1.253138999	0
SL1344_0052	rihC	0.108088457	1.28034511	0
SL1344_0053	citB2	0.000476753	-2.263325376	2
SL1344_0054	citA2	4.88e-05	-2.033546212	2
SL1344_0055	SL1344_0055	1.68e-21	-15	2
SL1344_0059	citC2	0.005906356	-1.658911162	2
SL1344_0060	citD2	0.006453912	-1.459537659	2
SL1344_0062	citF2	0.014354691	1.941892217	1
SL1344_0064	citG2	0.771941706	0.239421827	0
SL1344_0067	carA	0.001561218	-2.190620754	2
SL1344_0068	carB	1.52e-25	-6.810866398	2
SL1344_0069	caiF	1.06e-26	-15	2
SL1344_0071	caiD	0.085335139	1.062496866	0
SL1344_0073	caiB	0.000446754	-1.815381075	2
SL1344_0074	caiA	0.02037712	1.998538232	1
SL1344_0075	caiT	0.009078416	1.919869655	1
SL1344_0076	fixA	6.63e-31	-15	2
SL1344_0078	fixC	0.753752179	-0.227781579	0
SL1344_0080	yaaU	0.002228915	2.440558948	1
SL1344_0082	SL1344_0082	2.83e-71	-15	2
