Locus Tag	Name	FDR	logFC	Fitness
atpE	atpE	1.09e-06	-15	2
clpP	clpP	4.31e-10	-15	2
ecnB	ecnB	0.844257471	-0.545904579	0
mgtC	mgtC	9.58e-11	-9.624663362	2
ncRNA0008	CsrC	0.961165918	0.924440557	0
ncRNA0025	InvR	3.22e-09	-15	2
ncRNA0026	IsrA	0.000907003	-3.558920363	2
ncRNA0028	IsrC	0.852858469	-0.536656587	0
ncRNA0051	OmrA	0.879225716	0.606125256	0
ncRNA0063	RybD	0.860314059	-0.899758281	0
ncRNA0064	RydB	2.2e-05	-5.510502215	2
ncRNA0164	STnc440	0.557094345	-1.086876039	0
ncRNA0179	STnc520	9.84e-06	-4.670242108	2
ncRNA0199	STnc780	0.757659992	-0.775779226	0
ncRNA0238	STnc1380	0.965890658	-0.127685678	0
ncRNA0284	STnc2130	0.625896444	1.189388095	0
ncRNA0285	STnc2160	1.49e-07	-5.948222101	2
SL1344_0002	thrA	0.925939064	0.472454312	0
SL1344_0004	thrC	0.84085579	0.729691406	0
SL1344_0005	yaaA	0.741417269	-0.7965488	0
SL1344_0007	talB	0.810315352	-0.623838036	0
SL1344_0008	mog	0.028761633	-2.475578499	2
SL1344_0009	yaaH	0.947880536	0.362805476	0
SL1344_0011	yaaI	0.924701796	0.451659828	0
SL1344_0012	dnaK	3.43e-09	-15	2
SL1344_0013	dnaJ	7.4e-11	-15	2
SL1344_0014	SL1344_0014	4.73e-09	-8.688052068	2
SL1344_0015	SL1344_0015	4.63e-06	-15	2
SL1344_0016	SL1344_0016	0.175220213	-2.274078762	0
SL1344_0018	chiA	0.756275055	0.934719195	0
SL1344_0019	SL1344_0019	0.816811667	-0.788725578	0
SL1344_0020	SL1344_0020	3.18e-07	-7.142564674	2
SL1344_0021	bcfA	1.45e-09	-9.031334378	2
SL1344_0022	bcfB	0.000378473	-3.721715995	2
SL1344_0023	bcfC	0.88006571	-0.456687945	0
SL1344_0024	bcfD	0.615047489	1.200439204	0
SL1344_0028	bcfH	0.823240134	1.494578221	0
SL1344_0029	SL1344_0029	0.472941736	-1.2081086	0
SL1344_0033	SL1344_0033	1.18e-10	-15	2
SL1344_0034	SL1344_0034	1.02e-09	-15	2
SL1344_0035	SL1344_0035	2.89e-11	-15	2
SL1344_0036	SL1344_0036	0.003998197	-3.140368429	2
SL1344_0037	SL1344_0037	0.570112211	-1.079277879	0
SL1344_0038	SL1344_0038	0.069313597	-2.10990032	0
SL1344_0039	SL1344_0039	0.003378225	-3.131883908	2
SL1344_0040	nhaA	0.000230072	-3.969763397	2
SL1344_0041	nhaR	0.906402509	0.519565117	0
SL1344_0042	SL1344_0042	0.822273698	-0.614897746	0
SL1344_0043	SL1344_0043	0.005628185	-2.914129702	2
SL1344_0045	yaaY	2.21e-11	-15	2
SL1344_0049	fkpB	0.729281807	0.997689992	0
SL1344_0052	rihC	0.756196937	0.927219257	0
SL1344_0053	citB2	0.586287472	-1.508211086	0
SL1344_0054	citA2	0.028001888	-2.438860889	2
SL1344_0055	SL1344_0055	0.000620505	-3.687327911	2
SL1344_0059	citC2	0.962925452	-0.162975722	0
SL1344_0060	citD2	0.935243072	0.414769908	0
SL1344_0062	citF2	0.503936175	1.410121823	0
SL1344_0064	citG2	0.642869292	2.415699253	0
SL1344_0067	carA	2.7e-09	-7.462391933	2
SL1344_0068	carB	1.54e-10	-15	2
SL1344_0069	caiF	0.143150256	-1.858588269	0
SL1344_0071	caiD	1	0.011249515	0
SL1344_0073	caiB	0.770560071	0.90346642	0
SL1344_0074	caiA	0.925192965	0.472794731	0
SL1344_0075	caiT	0.790880577	0.852084401	0
SL1344_0076	fixA	3.8e-09	-8.819830273	2
SL1344_0078	fixC	0.875404232	0.783114997	0
SL1344_0080	yaaU	0.680212118	1.088658216	0
SL1344_0082	SL1344_0082	3.54e-10	-15	2
SL1344_0083A	SL1344_0083A	5.36e-09	-7.922517322	2
SL1344_0084	SL1344_0084	5.17e-11	-9.11446863	2
SL1344_0086	yabF	0.919646908	0.47501883	0
SL1344_0087	kefC	0.988271495	-0.049910415	0
SL1344_0089	apaH	2.75e-09	-8.107799256	2
SL1344_0091	ksgA	0.001252295	-3.496514508	2
SL1344_0092	pdxAa	0.935925125	0.429936325	0
SL1344_0093	surA	9.87e-11	-15	2
SL1344_0095	djlA	1	0.122825968	0
SL1344_0096	rluA	0.577495309	1.261911758	0
SL1344_0097	hepA	0.575330047	-1.271968368	0
SL1344_0098	polB	0.48766908	-1.20806193	0
SL1344_0099	SL1344_0099	0.330159904	-1.401201822	0
SL1344_0100	SL1344_0100	0.694330198	-0.873304986	0
SL1344_0103	araB	0.802610782	-0.653468803	0
SL1344_0104	araC	0.880355942	0.819897584	0
SL1344_0107	thiP	0.6584389	1.132926387	0
SL1344_0111	leuC	0.285081416	-1.542249231	0
SL1344_0112	leuB	0.195606244	-1.67452995	0
SL1344_0113	leuA	0.034801031	-2.378865036	2
SL1344_0114	leuL	0.0269274	-2.530162825	2
SL1344_0116	ilvI	0.700452852	1.047942281	0
SL1344_0118	fruR	4.47e-11	-9.978462105	2
SL1344_0120	mraW	6.67e-10	-8.392002605	2
SL1344_0130	ddlB	0.831378065	0.738455619	0
SL1344_0138	yacG	0.965569716	0.349005211	0
SL1344_0141	guaC	0.431454023	1.528581976	0
SL1344_0142	pilC	0.980274415	0.203638521	0
SL1344_0143	pilB	0.571205721	1.291858243	0
SL1344_0145	nadC	0.644670728	1.167919983	0
SL1344_0146	ampD	0.731515295	0.981734826	0
SL1344_0148	SL1344_0148	0.649627354	1.15536014	0
SL1344_0150	aroP	0.518335304	1.372357862	0
SL1344_0151	pdhR	0.891583098	0.652862078	0
SL1344_0152	aceE	3.85e-08	-6.457260194	2
SL1344_0153	aceF	2.87e-11	-15	2
SL1344_0154	lpdA	6.29e-10	-15	2
SL1344_0156	SL1344_0156	0.384431473	1.625681342	0
SL1344_0159	acnB	0.000108276	-4.255263368	2
SL1344_0161	yacL	0.805732479	-0.784688472	0
SL1344_0162	kdgT	0.959235674	-0.192483163	0
SL1344_0163	SL1344_0163	1	0.186311282	0
SL1344_0165	SL1344_0165	0.138892754	-1.829416803	0
SL1344_0166	speD	0.953587375	-0.17683719	0
SL1344_0167	speE	0.905086913	-0.366180075	0
SL1344_0169	cueO	1	0.0963635	0
SL1344_0170	gcd	0.667154995	1.119506795	0
SL1344_0173	yadG	0.936572206	0.404105993	0
SL1344_0175	stiH	0.788072361	0.868497213	0
SL1344_0176	stiC	0.774222208	-0.70106118	0
SL1344_0178	stiA	0.892829569	1.019044428	0
SL1344_0180	yadE	0.591058936	-1.03987022	0
SL1344_0182	panC	0.860314059	0.662702415	0
SL1344_0183	panB	0.876113557	0.61814078	0
SL1344_0184	folK	1.04e-09	-9.019090582	2
SL1344_0185	pcnB	0.231078674	-1.776692151	0
SL1344_0186	yadB	0.99713509	0.152474912	0
SL1344_0187	dksA	1.62e-10	-15	2
SL1344_0188	sfsA	0.84085579	1.041412408	0
SL1344_0189	ligT	0.797084569	1.054979275	0
SL1344_0190	hrpB	0.817423956	0.78940965	0
SL1344_0191	mrcB	0.0292265	-2.462205604	2
SL1344_0192	fhuA	0.001098656	-3.621655795	2
SL1344_0193	fhuC	0.685367505	-0.890446684	0
