Locus Tag	Name	FDR (Mouse)	logFC (Mouse)	Fitness (Mouse)	FDR (Pig)	logFC (Pig)	Fitness (Pig)	FDR (Chicken)	logFC (Chicken)	Fitness (Chicken)	FDR (Cattle)	logFC (Cattle)	Fitness (Cattle)
SL1344_0002	thrA	0.162557525	-1.614674739	0	0.774401951	0.2994319	0	0.925939064	0.472454312	0	0.007978862	1.903599219	1
SL1344_0004	thrC	0.424589681	0.858528619	0	na	na	3	0.84085579	0.729691406	0	0.521448163	-0.406936365	0
SL1344_0005	yaaA	na	na	3	0.770209465	0.380411869	0	0.741417269	-0.7965488	0	0.008761562	-1.454663473	2
SL1344_0006	yaaJ	0.848823932	0.372164734	0	na	na	3	na	na	3	na	na	3
SL1344_0007	talB	0.825652226	0.556567916	0	0.803364234	-0.445583861	0	0.810315352	-0.623838036	0	0.012943314	2.210774885	1
SL1344_0008	mog	0.016539559	-1.645670738	2	0.173072098	2.752330105	0	0.028761633	-2.475578499	2	0.226885965	0.919702531	0
SL1344_0009	yaaH	na	na	3	0.99807879	-0.018869039	0	0.947880536	0.362805476	0	na	na	3
SL1344_0010	htgA	0.212852989	-1.044198885	0	na	na	3	na	na	3	na	na	3
SL1344_0011	yaaI	0.893828655	0.341763059	0	0.919253393	0.152568302	0	0.924701796	0.451659828	0	0.002550087	-1.589715518	2
SL1344_0012	dnaK	na	na	3	2.67E-24	-6.991343229	2	3.43E-09	-15	2	1.18E-28	-15	2
SL1344_0013	dnaJ	na	na	3	na	na	3	7.40E-11	-15	2	5.22E-31	-15	2
SL1344_0014	SL1344_0014	0.126575675	1.294285345	0	2.27E-18	-4.592576633	2	4.73E-09	-8.688052068	2	6.36E-63	-15	2
SL1344_0015	SL1344_0015	0.816754149	-0.361844415	0	0.00000487	-15	2	0.00000463	-15	2	2.48E-29	-15	2
SL1344_0016	SL1344_0016	0.855226999	0.914642259	0	0.232264159	-1.641836394	0	0.175220213	-2.274078762	0	8.86E-08	-3.955794383	2
SL1344_0017	SL1344_0017	0.890611524	-0.264430038	0	na	na	3	na	na	3	na	na	3
SL1344_0018	chiA	0.272083243	-1.435217508	0	0.824060565	0.379515586	0	0.756275055	0.934719195	0	0.011656097	2.07302001	1
SL1344_0019	SL1344_0019	0.671326318	-0.550595211	0	0.902228856	-0.178381745	0	0.816811667	-0.788725578	0	0.007037564	-1.531246158	2
SL1344_0020	SL1344_0020	0.900409703	-0.241916626	0	0.000000654	-15	2	0.000000318	-7.142564674	2	4.14E-64	-15	2
SL1344_0021	bcfA	0.73578138	0.515271414	0	0.001448341	-1.849933895	2	1.45E-09	-9.031334378	2	7.48E-33	-15	2
SL1344_0022	bcfB	0.917113324	0.253281437	0	0.000133571	-15	2	0.000378473	-3.721715995	2	6.57E-27	-15	2
SL1344_0023	bcfC	0.850242398	-0.526965077	0	0.136094617	-1.473636996	0	0.88006571	-0.456687945	0	0.047749829	-1.283422873	2
SL1344_0024	bcfD	0.633769108	-0.586712131	0	0.738360776	0.475493516	0	0.615047489	1.200439204	0	0.203565422	-0.958528011	0
SL1344_0026	bcfF	0.779295325	-0.549619504	0	na	na	3	na	na	3	na	na	3
