Locus Tag	Name	Anaerobic growth	Anaerobic shock
SL1344_0001	thrL	5142.3	3277.7
SL1344_0002	thrA	11.9	13.2
SL1344_0003	thrB	38.7	27.2
SL1344_0004	thrC	41.6	34.4
SL1344_0005	yaaA	44.8	50.7
SL1344_0006	yaaJ	11.8	20.8
SL1344_0007	talB	448.7	463.6
SL1344_0008	mog	35.6	72
SL1344_0009	yaaH	6.7	10.1
SL1344_0010	htgA	1.7	1.8
SL1344_0011	yaaI	7.1	12.3
SL1344_0012	dnaK	86.4	157.9
tpke11	tpke11	51	112.5
SL1344_0013	dnaJ	45.8	74.1
STnc890		141.7	492.8
SL1344_0014		2.6	9.8
SL1344_0015		5.7	9.9
SL1344_0016		0.2	0.5
STnc3200		45.6	110.7
STnc3210		13.6	9.8
SL1344_0017		0.6	1.3
SL1344_0018	chiA	3.8	3.9
SL1344_0019		2.5	2.7
SL1344_0020		2.2	5.7
SL1344_0021	bcfA	4.6	2.1
SL1344_0022	bcfB	2.1	2.5
SL1344_0023	bcfC	1.4	2
SL1344_0024	bcfD	2.1	2.1
SL1344_0025	bcfE	0.7	2.1
SL1344_0026	bcfF	2	0.8
SL1344_0027	bcfG	3.7	1
SL1344_0028	bcfH	6.5	3.9
SL1344_0029		7.6	7.4
SL1344_0030		0	2.5
SL1344_0031		3.1	4.1
SL1344_0032		1.2	1.3
SL1344_0033		7	7.8
SL1344_0034		9.9	17.3
SL1344_0035		0.5	2.1
SL1344_0036		8.8	6.9
STnc1010		313.7	463.9
SL1344_0037		3.9	6.5
SL1344_0038		2.1	3.4
SL1344_0039		13.4	9.5
SL1344_0040	nhaA	47.4	28
SL1344_0041	nhaR	48.9	31.7
SL1344_0042		2	4.3
SL1344_0043		0.7	1.5
SL1344_0044	rpsT	824.7	967.7
SL1344_0045	yaaY	29.8	50.9
SL1344_0046	ribF	72.8	91.7
SL1344_0047	ileS	53.2	62.4
SL1344_0048	lspA	133	141.6
SL1344_0049	fkpB	59.6	64.1
SL1344_0050	ispH	52.4	56.6
SL1344_0051		18.9	22.2
SL1344_0052	rihC	23.8	21.9
SL1344_0053	citB2	7.1	12.9
SL1344_0054	citA2	7.1	14.5
STnc3220		79.5	118.9
SL1344_0055		0	0
SL1344_0056		0.1	0
SL1344_0057	oadG	0	1.2
STnc3090		5.9	8.6
STnc4160		52.6	45.9
SL1344_0058		1.3	1.3
SL1344_0059	citC2	0.6	1.1
SL1344_0060	citD2	0.4	0.5
SL1344_0061	citE2	0.6	1.5
SL1344_0062	citF2	1.1	0.6
SL1344_0063	citX2	1.2	0.8
SL1344_0064	citG2	2.4	3.4
SL1344_0065	dapB	95.1	136.1
DapZ	DapZ	11137.8	3121.6
STnc3230		121.7	86.6
SL1344_0066A		2.3	0.8
SL1344_0067	carA	2.4	2.9
SL1344_0068	carB	4.6	5.5
SL1344_0069	caiF	182.5	387.4
SL1344_0070	caiE	0.7	1.7
SL1344_0071	caiD	1.5	2.4
SL1344_0072	caiC	3.4	3.8
SL1344_0073	caiB	3.5	5.9
SL1344_0074	caiA	7.4	14.9
SL1344_0075	caiT	0.8	1.4
SL1344_0076	fixA	1.5	4.1
SL1344_0077	fixB	0.8	1.7
SL1344_0078	fixC	0.8	1.7
SL1344_0079	fixX	3.6	3
SL1344_0080	yaaU	6.5	11.5
SL1344_0081		23.9	11.7
SL1344_0082		17	16.4
