Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0001	thrL	2295.82	2185.25	2603.1	2361.39
SL1344_0002	thrA	56.29	54.73	62.82	57.94
SL1344_0003	thrB	57.3	59.58	62.32	59.74
SL1344_0004	thrC	64.61	66.14	63.94	64.9
SL1344_0005	yaaA	22.59	27.6	26.11	25.43
SL1344_0006	yaaJ	23.04	21.34	20.18	21.52
SL1344_0007	talB	78.91	76.22	84.5	79.88
SL1344_0008	mog	22.44	27	28.13	25.86
SL1344_0009	yaaH	13.93	9.54	13.33	12.27
SL1344_0010	htgA	1.98	1.14	1.85	1.65
SL1344_0011	yaaI	4.18	4.01	5.14	4.44
SL1344_0012	dnaK	54.54	54.82	66.74	58.7
SL1344_0013	dnaJ	19.04	17.54	20.86	19.15
SL1344_0014		2.68	5.13	3.58	3.8
SL1344_0015		1.64	1.57	3.29	2.17
SL1344_0016		1.59	2.03	1.06	1.56
SL1344_0017		2.54	3.66	3.83	3.34
SL1344_0018	chiA	45.02	47.61	47.68	46.77
SL1344_0019		7.52	7.48	8.94	7.98
SL1344_0020		6.4	3.07	4.29	4.59
SL1344_0021	bcfA	8.83	6.97	8	7.94
SL1344_0022	bcfB	0.41	1.57	0.27	0.75
SL1344_0023	bcfC	1.93	1.96	2.37	2.09
SL1344_0024	bcfD	3.92	2.15	2.06	2.71
SL1344_0025	bcfE	2.58	4.95	3.81	3.78
SL1344_0026	bcfF	1.09	1.04	3.28	1.8
SL1344_0027	bcfG	2.4	0.38	1.88	1.55
SL1344_0028	bcfH	12.33	9.59	10.27	10.73
SL1344_0029		8.56	9.03	11.46	9.68
SL1344_0030		1.25	1.2	2.52	1.66
SL1344_0031		0.84	3.23	4.32	2.8
SL1344_0032		0.64	0	0.43	0.36
SL1344_0033		4.43	5.5	4.83	4.92
SL1344_0034		8.78	6.19	5.88	6.95
SL1344_0035		4.07	2.48	2.48	3.01
SL1344_0036		10.56	12.84	13.26	12.22
STnc1010	STnc1010	3.57	13.67	19.1	12.11
