Locus Tag	gene	0hr_r1	0hr_r2	0hr_r3	0hr (Avg)	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)	4hr_r1	4hr_r2	4hr_r3	4hr (Avg)	8hr_r1	8hr_r2	8hr_r3	8hr (Avg)	16hr_r1	16hr_r2	16hr_r3	16hr (Avg)	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0001	thrL	5509.09	5742.01	4048.78	5099.96	2515.43	3125.61	2889.16	2843.4	3668.62	3957.53	1498.38	3041.51	6367.95	4438.15	8134.67	6313.59	3240.68	3338.03	1632.46	2737.05	2295.82	2185.25	2603.1	2361.39
SL1344_0002	thrA	51.83	56.88	43.73	50.82	33.79	62.03	52.48	49.44	47.32	54.84	22.1	41.42	26.89	43.85	53.95	41.56	58.7	53.37	34.81	48.96	56.29	54.73	62.82	57.94
SL1344_0003	thrB	33.95	30.15	26.64	30.24	268.68	197.28	278.16	248.04	355.29	272.5	147.96	258.58	194.34	251.08	295.5	246.97	197.78	174.78	134.77	169.11	57.3	59.58	62.32	59.74
SL1344_0004	thrC	35.36	39.3	43.55	39.4	213.51	242.28	69.56	175.11	377.44	395.89	162.55	311.96	210.59	284.81	309.87	268.42	187.82	197.85	146.5	177.39	64.61	66.14	63.94	64.9
SL1344_0005	yaaA	12.33	21.27	10.67	14.76	139.93	31.61	12.86	61.47	87.91	61.86	11.11	53.63	0	29.93	68.74	32.89	25.37	29.23	25.95	26.85	22.59	27.6	26.11	25.43
SL1344_0006	yaaJ	9.23	9.79	6.07	8.37	46.55	72.63	48.65	55.94	81.46	62.94	30.04	58.15	46.29	55.27	86.7	62.75	52.69	39.21	36.13	42.68	23.04	21.34	20.18	21.52
SL1344_0007	talB	250.88	233.85	230.06	238.26	288.11	237.19	62.57	195.96	275.04	244.98	93.15	204.39	113.67	246.78	185.84	182.1	144.06	136.12	76.53	118.9	78.91	76.22	84.5	79.88
SL1344_0008	mog	54.69	73.27	30.91	52.96	84.61	20.71	0	35.11	57.59	28.6	19.41	35.2	20.4	13.07	15.01	16.16	24.49	15.6	19.57	19.89	22.44	27	28.13	25.86
SL1344_0009	yaaH	16.85	16.14	6.14	13.04	14.7	10.79	17.56	14.35	8.58	0	0	2.86	0	10.22	5.22	5.14	16.41	4.44	3.22	8.02	13.93	9.54	13.33	12.27
SL1344_0010	htgA	0	0.85	1.22	0.69	0	17.14	0	5.71	0	0	0	0	0	0	0	0	0	0	0.85	0.28	1.98	1.14	1.85	1.65
SL1344_0011	yaaI	5.45	6.03	3.22	4.9	0	0	0	0	0	0	0	0	0	4.77	21.92	8.9	0	0	0	0	4.18	4.01	5.14	4.44
SL1344_0012	dnaK	53.21	64.83	61.86	59.97	143.3	159.42	72.62	125.12	205.2	148.27	29.89	127.79	47.11	62.38	47.76	52.42	70.57	68.58	47.26	62.14	54.54	54.82	66.74	58.7
SL1344_0013	dnaJ	18.03	9.62	19.44	15.7	36.52	16.09	0	17.54	51.14	49.39	5.03	35.19	10.57	20.31	18.14	16.34	17.22	21.31	12.27	16.93	19.04	17.54	20.86	19.15
SL1344_0014		3.1	3.86	0.92	2.62	0	0	0	0	5.13	5.94	3.02	4.7	0	4.07	6.23	3.44	2.18	2.65	3.85	2.89	2.68	5.13	3.58	3.8
SL1344_0015		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77	0.59	1.64	1.57	3.29	2.17
SL1344_0016		0	1.14	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59	2.03	1.06	1.56
SL1344_0017		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89	0	0.63	2.54	3.66	3.83	3.34
SL1344_0018	chiA	5.45	1.62	2.31	3.13	4.42	9.73	0	4.72	2.58	8.96	4.56	5.37	0	1.02	7.84	2.95	13.7	13.78	21.3	16.26	45.02	47.61	47.68	46.77
SL1344_0019		1.96	1.63	1.74	1.77	0	0	6.63	2.21	0	1.88	0	0.63	0	1.29	2.96	1.41	3.79	1.4	2.03	2.41	7.52	7.48	8.94	7.98
SL1344_0020		1.04	0.86	0	0.64	0	0	0	0	0	0	4.07	1.36	0	0	0	0	1.47	1.19	0	0.89	6.4	3.07	4.29	4.59
SL1344_0021	bcfA	1.35	1.12	1.6	1.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61	1.87	8.83	6.97	8	7.94
SL1344_0022	bcfB	1.07	2.66	0	1.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	1.57	0.27	0.75
SL1344_0023	bcfC	1.12	0.7	0.33	0.72	0	6.99	0	2.33	1.85	0	1.09	0.98	0	0.74	2.25	1	0.79	0.96	0.23	0.66	1.93	1.96	2.37	2.09
SL1344_0024	bcfD	2.18	1.21	0	1.13	0	6.07	0	2.02	4.82	0	0	1.61	0	1.91	0	0.64	1.03	4.99	0	2	3.92	2.15	2.06	2.71
SL1344_0025	bcfE	1.35	0	0	0.45	0	0	0	0	8.91	0	0	2.97	0	0	0	0	3.79	4.61	0	2.8	2.58	4.95	3.81	3.78
SL1344_0026	bcfF	0	2.35	3.35	1.9	0	0	0	0	18.74	0	0	6.25	0	0	0	0	0	0	0	0	1.09	1.04	3.28	1.8
SL1344_0027	bcfG	2.08	1.73	0.62	1.48	0	0	0	0	20.68	0	0	6.89	0	0	0	0	0	2.38	1.73	1.37	2.4	0.38	1.88	1.55
SL1344_0028	bcfH	5.21	5.76	1.03	4	0	7.23	23.52	10.25	11.49	6.66	6.78	8.31	7.12	11.41	3.49	7.34	10.99	6.93	5.75	7.89	12.33	9.59	10.27	10.73
SL1344_0029		17.83	3.7	5.28	8.94	25.29	0	0	8.43	29.51	59.85	0	29.78	0	0	0	0	9.41	7.63	0	5.68	8.56	9.03	11.46	9.68
SL1344_0030		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	1.2	2.52	1.66
SL1344_0031		0.73	0.61	0	0.45	0	0	0	0	0	0	2.85	0.95	0	1.92	0	0.64	0	1.67	0.61	0.76	0.84	3.23	4.32	2.8
SL1344_0032		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38	0.46	0.64	0	0.43	0.36
SL1344_0033		0.85	2.13	0.76	1.25	14.53	3.56	0	6.03	8.48	4.91	0	4.46	3.5	0	3.44	2.31	2.4	2.92	2.12	2.48	4.43	5.5	4.83	4.92
SL1344_0034		3.73	7.75	0.55	4.01	5.3	0	6.33	3.87	0	3.58	0	1.19	3.83	0	5.64	3.16	3.94	2.13	4.64	3.57	8.78	6.19	5.88	6.95
SL1344_0035		0.96	0.8	0	0.59	0	0	0	0	6.38	0	0	2.13	0	2.53	0	0.84	2.71	0	2.4	1.7	4.07	2.48	2.48	3.01
SL1344_0036		3.93	7.75	0.58	4.09	16.72	0	0	5.57	16.26	0	0	5.42	4.03	5.16	9.89	6.36	3.46	3.92	5.7	4.36	10.56	12.84	13.26	12.22
STnc1010	STnc1010	9.28	0	0	3.09	0	0	0	0	0	35.6	0	11.87	0	48.8	0	16.27	26.13	21.19	15.39	20.9	3.57	13.67	19.1	12.11
SL1344_0037		3.7	5.63	2.55	3.96	27.97	0	0	9.32	0	21.27	0	7.09	5.06	1.62	14.88	7.19	3.47	1.41	4.6	3.16	6.63	7.03	9.03	7.56
SL1344_0038		1.76	1.94	1.04	1.58	0	0	0	0	0	0	2.29	0.76	0	0	0	0	5.77	3.34	4.85	4.65	5.39	5.6	5.72	5.57
SL1344_0039		7.27	1.78	2.28	3.77	4.85	3.56	5.8	4.74	0	11.48	1.67	4.38	3.51	0	0	1.17	3.01	5.86	3.9	4.25	8.54	11.02	10.01	9.86
SL1344_0040	nhaA	88.69	101.31	95.32	95.11	71.36	62.87	17.05	50.43	108.23	135.09	31.93	91.75	30.97	38.02	116.45	61.81	84.1	76.09	91.74	83.97	152.18	150.52	228.07	176.92
SL1344_0041	nhaR	70.16	53.51	65.2	62.95	9.26	47.57	22.11	26.31	53.99	31.29	9.56	31.61	0	30.02	32.83	20.95	73.48	65.17	73.01	70.55	128.45	142.97	162.38	144.6
SL1344_0042		1.44	0.6	1.06	1.03	4.08	0	0	1.36	7.14	1.38	0	2.84	0	1.89	0	0.63	2.02	2.05	0.6	1.56	2.21	2.12	4.44	2.92
SL1344_0043		1.07	0.89	0	0.65	0	0	0	0	0	0	0	0	0	0	2.15	0.72	0	0.61	0.89	0.5	1.03	1.18	1.51	1.24
SL1344_0044	rpsT	7256	9318.62	2253.33	6275.98	5726.11	5412.29	2154.02	4430.81	5149.16	4695.11	849.27	3564.51	709.35	718.3	1829.46	1085.7	981.19	1008.78	781.07	923.68	1599.98	1574.93	1305.85	1493.58
SL1344_0045	yaaY	3.41	5.66	2.02	3.7	38.7	0	0	12.9	0	0	0	0	0	0	0	0	0	3.89	2.83	2.24	7.86	6.28	3.51	5.88
SL1344_0046	ribF	67.24	75.3	40.27	60.94	124.18	97.69	42.38	88.09	87.97	92.96	27.48	69.47	57.74	43.16	62.94	54.61	45.12	45.51	36.93	42.52	57.05	58.44	64.74	60.08
SL1344_0047	ileS	87.73	94.54	74.3	85.52	123.31	112.09	91.18	108.86	174.7	142.92	51.53	123.05	74.32	125.84	118.74	106.3	91.78	93.91	61.33	82.34	85.37	88.42	83.52	85.77
SL1344_0048	lspA	88.01	94.99	77.28	86.76	282.89	109.96	59.63	150.83	262.11	230.65	40.09	177.62	108.33	146.5	123.98	126.27	148.64	142.28	75.36	122.09	107.59	123.67	127.12	119.46
SL1344_0049	fkpB	13.07	36.61	12.57	20.75	55.59	13.61	0	23.07	21.62	25.06	31.89	26.19	13.4	38.64	26.3	26.11	20.69	41.01	27.07	29.59	17.56	22.85	34.02	24.81
SL1344_0050	ispH	54.81	55.12	41.13	50.35	131.37	64.31	156.93	117.54	71.53	103.63	24.11	66.42	25.34	58.85	49.71	44.63	51.07	59.91	48.62	53.2	50.99	57.41	54.79	54.4
SL1344_0051		9.76	12.16	6.5	9.47	13.84	30.49	0	14.78	0	9.36	2.38	3.91	5.01	6.41	9.82	7.08	6.87	5.57	6.07	6.17	15	16.62	14.75	15.46
SL1344_0052	rihC	10.36	14.56	10.85	11.93	18.09	6.64	0	8.24	10.55	21.4	6.23	12.73	0	16.76	16.04	10.93	19.07	18.19	15.19	17.49	22.35	23.19	32.59	26.04
SL1344_0053	citB2	2.14	4.44	0	2.19	12.13	0	0	4.04	21.23	20.5	12.52	18.08	0	11.24	12.91	8.05	7.52	10.98	2.66	7.05	4.11	1.97	4.4	3.49
SL1344_0054	citA2	0.45	0	0.27	0.24	15.42	11.32	0	8.91	14.99	3.47	3.54	7.33	3.72	10.72	10.94	8.46	7.01	3.1	0.75	3.62	2.26	4.5	2.33	3.03
SL1344_0055		0	0.47	0	0.16	0	0	0	0	0	0	0	0	0	0	1.13	0.38	0.79	0	0	0.26	1.46	0.82	1.31	1.2
SL1344_0056		0.21	0	0	0.07	0	0	0	0	2.73	3.96	0	2.23	0	0	0	0	0.33	0.47	0.65	0.48	1.2	1	0	0.73
SL1344_0057	oadG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	1.17	1.18	0	0.79	0.66
SL1344_0058		1.09	0.45	0.32	0.62	0	0	0	0	0	0	0	0	0	0	0	0	1.54	0.62	0	0.72	1.68	1.01	1.27	1.32
SL1344_0059	citC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	1.74	1.11	2.42	3.61	4.69	3.58
SL1344_0060	citD2	0	0	2.96	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15	1.38	0.96	2.76	4.51	2.74
SL1344_0061	citE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0.7	0.55	3.24	3.11	2.39	2.91
SL1344_0062	citF2	0	0	0.86	0.29	0	0	0	0	0	3.7	0	1.23	0	0	1.94	0.65	2.04	1.1	2	1.71	3.89	3.73	4.84	4.15
SL1344_0063	citX2	0	1.11	0	0.37	15.1	0	0	5.03	8.81	0	0	2.94	0	0	0	0	0	3.04	2.21	1.75	3.07	3.92	5.82	4.27
SL1344_0064	citG2	0	5.45	0.49	1.98	0	0	0	0	0	0	0	0	0	0	0	0	2.31	3.75	3.4	3.15	3.15	4.54	5.7	4.46
SL1344_0065	dapB	25.91	14.09	18.51	19.5	111.48	119.06	36.32	88.95	183.28	102.78	31.39	105.82	36.65	96.27	82.69	71.87	32.69	42.82	31.09	35.53	12.01	14.14	14.7	13.62
DapZ	DapZ	7115.01	6523.86	7431.44	7023.43	4214.16	3887.64	1419.82	3173.87	819.48	1022.83	1078.49	973.6	78.16	826.15	766.71	557	1152.86	1228.24	339.4	906.83	395.05	543.54	274.33	404.31
SL1344_0066A		6.34	3.51	3.75	4.53	0	52.82	0	17.61	0	0	0	0	0	0	8.51	2.84	0	0	0	0	2.44	0.78	4.35	2.52
