Locus Tag	Name	FDR	logFC	Fitness
atpE	atpE	1.04e-06	-9.045394843	2
clpP	clpP	0.056322417	-2.815575429	0
ecnB	ecnB	0.63229846	0.589272752	0
mgtC	mgtC	3.78e-11	-15	2
ncRNA0008	CsrC	0.550377043	1.402689107	0
ncRNA0025	InvR	1.84e-06	-15	2
ncRNA0026	IsrA	1.43e-07	-5.722466024	2
ncRNA0028	IsrC	0.00665628	-3.037623161	2
ncRNA0063	RybD	0.609471011	-0.63843613	0
ncRNA0064	RydB	0.041045942	-3.595794221	2
ncRNA0164	STnc440	1.78e-05	-3.966896558	2
ncRNA0179	STnc520	5.52e-09	-6.803766127	2
ncRNA0199	STnc780	0.136852081	-1.758112671	0
ncRNA0238	STnc1380	0.021591611	-2.277937696	2
ncRNA0284	STnc2130	0.570462015	1.250869305	0
ncRNA0285	STnc2160	4.97e-08	-15	2
SL1344_0002	thrA	0.774401951	0.2994319	0
SL1344_0005	yaaA	0.770209465	0.380411869	0
SL1344_0007	talB	0.803364234	-0.445583861	0
SL1344_0008	mog	0.173072098	2.752330105	0
SL1344_0009	yaaH	0.99807879	-0.018869039	0
SL1344_0011	yaaI	0.919253393	0.152568302	0
SL1344_0012	dnaK	2.67e-24	-6.991343229	2
SL1344_0014	SL1344_0014	2.27e-18	-4.592576633	2
SL1344_0015	SL1344_0015	4.87e-06	-15	2
SL1344_0016	SL1344_0016	0.232264159	-1.641836394	0
SL1344_0018	chiA	0.824060565	0.379515586	0
SL1344_0019	SL1344_0019	0.902228856	-0.178381745	0
SL1344_0020	SL1344_0020	6.54e-07	-15	2
SL1344_0021	bcfA	0.001448341	-1.849933895	2
SL1344_0022	bcfB	0.000133571	-15	2
SL1344_0023	bcfC	0.136094617	-1.473636996	0
SL1344_0024	bcfD	0.738360776	0.475493516	0
SL1344_0028	bcfH	0.801916307	-0.366014054	0
SL1344_0029	SL1344_0029	0.001679116	-2.846602324	2
SL1344_0033	SL1344_0033	3.65e-10	-15	2
SL1344_0034	SL1344_0034	1.32e-08	-15	2
SL1344_0035	SL1344_0035	4.06e-11	-15	2
SL1344_0036	SL1344_0036	1.54e-08	-15	2
SL1344_0037	SL1344_0037	0.124323512	-1.531152969	0
SL1344_0038	SL1344_0038	7.51e-07	-6.885404596	2
SL1344_0039	SL1344_0039	1.63e-07	-6.172362281	2
SL1344_0040	nhaA	0.000105977	-4.257797757	2
SL1344_0041	nhaR	0.610682838	-0.63552843	0
SL1344_0042	SL1344_0042	0.425739087	1.159126003	0
SL1344_0043	SL1344_0043	1.39e-08	-15	2
SL1344_0045	yaaY	3.36e-09	-15	2
SL1344_0049	fkpB	0.662149698	0.583395206	0
SL1344_0053	citB2	0.146996276	-1.24975051	0
SL1344_0054	citA2	2.74e-05	-3.588931257	2
SL1344_0055	SL1344_0055	5.85e-06	-15	2
SL1344_0059	citC2	0.572371013	-0.689393796	0
SL1344_0060	citD2	0.901538777	0.178678582	0
SL1344_0062	citF2	0.521990498	1.140660167	0
SL1344_0064	citG2	0.297003122	1.569200725	0
SL1344_0067	carA	4.2e-11	-15	2
SL1344_0068	carB	3.01e-07	-15	2
SL1344_0069	caiF	3.74e-11	-3.736525231	2
SL1344_0071	caiD	0.856358954	-0.246884097	0
SL1344_0073	caiB	0.447723124	-0.890272796	0
SL1344_0074	caiA	0.611398437	0.791070213	0
SL1344_0075	caiT	0.585891931	-0.50849664	0
SL1344_0076	fixA	4.97e-07	-15	2
SL1344_0078	fixC	0.427453512	-1.047400264	0
SL1344_0080	yaaU	0.758525639	0.425111209	0
SL1344_0082	SL1344_0082	7.74e-10	-15	2
SL1344_0083A	SL1344_0083A	4.79e-24	-5.433749637	2
SL1344_0084	SL1344_0084	8.41e-10	-6.76622641	2
SL1344_0086	yabF	0.79113372	0.362900711	0
SL1344_0087	kefC	0.482027815	1.477514589	0
SL1344_0089	apaH	5.87e-08	-15	2
SL1344_0091	ksgA	0.000406628	-2.514011383	2
SL1344_0092	pdxAa	0.786549567	0.36713757	0
SL1344_0093	surA	0.238886939	-4.917722316	0
SL1344_0095	djlA	0.36868924	-1.060343238	0
SL1344_0096	rluA	0.958885838	0.095468304	0
SL1344_0097	hepA	9.85e-05	-3.634601038	2
SL1344_0098	polB	1.11e-06	-4.901213433	2
SL1344_0099	SL1344_0099	0.001879368	-3.387107804	2
SL1344_0100	SL1344_0100	4.26e-05	-4.040206322	2
SL1344_0103	araB	0.650776392	0.566212566	0
SL1344_0104	araC	0.586143422	-0.681784213	0
SL1344_0107	thiP	0.134936228	1.670358563	0
SL1344_0111	leuC	0.711933254	0.468159513	0
SL1344_0112	leuB	0.694481431	0.499800598	0
SL1344_0113	leuA	0.673153537	0.560195685	0
SL1344_0114	leuL	0.831215876	-0.486637243	0
SL1344_0116	ilvI	0.426131848	1.011563596	0
SL1344_0118	fruR	1.17e-18	-6.604301585	2
SL1344_0120	mraW	1.04e-13	-5.512904394	2
SL1344_0130	ddlB	0.505222836	0.786596362	0
SL1344_0141	guaC	0.54716711	0.751627255	0
SL1344_0142	pilC	0.999125133	-0.014821004	0
SL1344_0143	pilB	0.62910158	0.806591919	0
SL1344_0145	nadC	0.449416999	0.88784545	0
SL1344_0148	SL1344_0148	0.359909134	2.106210061	0
SL1344_0150	aroP	0.513070884	0.917288949	0
SL1344_0151	pdhR	0.393617692	-0.971493572	0
SL1344_0152	aceE	8.65e-11	-15	2
SL1344_0153	aceF	5.7e-23	-7.106263654	2
SL1344_0154	lpdA	8.34e-17	-5.323967916	2
SL1344_0156	SL1344_0156	0.524432509	0.755514897	0
SL1344_0159	acnB	3.4e-11	-3.912804567	2
SL1344_0161	yacL	0.051463862	-1.923083508	0
SL1344_0162	kdgT	0.245428162	-1.44205505	0
SL1344_0163	SL1344_0163	0.452214292	0.902354912	0
SL1344_0165	SL1344_0165	0.421426164	-0.920996386	0
SL1344_0166	speD	0.831215876	-0.285159802	0
SL1344_0167	speE	0.385168724	1.185322767	0
SL1344_0169	cueO	0.637997336	0.723753843	0
SL1344_0170	gcd	0.340378993	1.33320655	0
SL1344_0173	yadG	0.478206355	1.060212062	0
SL1344_0175	stiH	0.521499052	0.883558092	0
SL1344_0176	stiC	0.125778636	-1.510720847	0
SL1344_0178	stiA	0.941672284	-0.583201026	0
SL1344_0180	yadE	0.582086629	0.677107214	0
SL1344_0182	panC	0.405282463	1.971020933	0
SL1344_0183	panB	0.517998575	1.248928615	0
SL1344_0184	folK	4.94e-23	-6.792716194	2
SL1344_0185	pcnB	3.56e-06	-15	2
SL1344_0186	yadB	0.696685559	0.519183516	0
SL1344_0187	dksA	0.17128301	-15	0
SL1344_0188	sfsA	0.349694877	1.816239418	0
SL1344_0189	ligT	0.640182527	0.577055657	0
SL1344_0190	hrpB	0.31488401	1.871839339	0
SL1344_0191	mrcB	6.81e-17	-5.661452959	2
SL1344_0192	fhuA	0.24874127	-1.263164267	0
SL1344_0194	fhuD	0.747421652	-0.437321914	0
SL1344_0196	stfA	0.000324259	-5.729418785	2
SL1344_0197	stfC	2.46e-05	-4.413347737	2
SL1344_0198	stfD	0.26298668	1.293799924	0
SL1344_0202	SL1344_0202	0.456652312	1.035081805	0
SL1344_0204	clcA	0.697751717	-0.516644366	0
SL1344_0206	yadS	0.180541652	2.15418521	0
SL1344_0208	mtn	4.64e-22	-5.777129701	2
SL1344_0209	dgt	1.81e-09	-15	2
SL1344_0210	htrA	3.43e-11	-15	2
SL1344_0211	cdaR	0.480874488	1.630945491	0
SL1344_0213	SL1344_0213	0.77156981	0.386058432	0
SL1344_0224	yaeL	7.08e-06	-15	2
SL1344_0226	hlpA	2.42e-07	-15	2
SL1344_0234	SL1344_0234	0.791518043	0.397902235	0
SL1344_0235	ldcC	0.616873348	0.753175301	0
SL1344_0236	yaeR	0.583447585	1.362767782	0
SL1344_0240	yaeQ	0.62084863	0.587497482	0
SL1344_0241	yaeJ	0.323996626	1.232787593	0
SL1344_0242	cutF	0.17672954	1.505247788	0
SL1344_0246	metQ	0.654671436	-0.559149095	0
SL1344_0249	yaeD	1.09e-06	-7.33432281	2
SL1344_0250	dkgB	0.345435373	1.744417797	0
SL1344_0251	yafC	0.278681121	1.849981625	0
SL1344_0252	SL1344_0252	0.329534584	2.012379963	0
SL1344_0253	yafD	0.817060317	-0.320810737	0
SL1344_0260	sciA	0.826067883	0.294219565	0
SL1344_0261	sciB	0.415347074	1.180344752	0
SL1344_0262	sciC	0.955107576	-0.087872756	0
SL1344_0264	sciE	0.301379495	-0.673512225	0
SL1344_0265	sciF	3.98e-07	-15	2
SL1344_0266	sciG	0.447607258	-0.895903255	0
SL1344_0268	sciI	0.728551512	-0.451747851	0
SL1344_0270	sciJ	3.01e-09	-15	2
SL1344_0275	sciN	0.780733273	-0.100434563	0
SL1344_0276	sciO	0.706651442	0.497089745	0
SL1344_0278	sciQ	4.51e-09	-15	2
SL1344_0280	sciS	0.199417302	1.976994834	0
SL1344_0281	sciT	0.908807524	0.164590519	0
SL1344_0283	sciV	0.298922296	-1.125587391	0
SL1344_0284	vgrS	0.081680651	-1.842760258	0
SL1344_0286	SL1344_0286	5.03e-11	-15	2
SL1344_0286A	SL1344_0286A	7.36e-09	-15	2
SL1344_0286B	SL1344_0286B	0.177424004	1.611055851	0
SL1344_0288	sciX	1.35e-08	-4.376844821	2
SL1344_0294	SL1344_0294	6.96e-10	-15	2
SL1344_0295	safA	8.63e-06	-15	2
SL1344_0296	safB	4.22e-10	-15	2
SL1344_0297	safC	0.916990222	-0.15224263	0
SL1344_0298	safD	0.804504458	0.345031164	0
SL1344_0299	ybeJ	0.000780997	-3.595794221	2
SL1344_0300	sinR	2.41e-26	-8.190323621	2
SL1344_0301	SL1344_0301	5.98e-10	-15	2
SL1344_0302	pagN	1.18e-21	-5.221240197	2
SL1344_0303	sciZ	1.57e-10	-15	2
SL1344_0305	fadE	0.529104778	1.039696886	0
SL1344_0307	yafJ	0.292871895	1.342644072	0
SL1344_0308	yafK	0.009664722	-1.745947916	2
SL1344_0309	dbh	6.02e-08	-5.807056197	2
SL1344_0310	SL1344_0310	0.636218255	-0.608548309	0
SL1344_0312	pepD	0.266530985	1.563556537	0
SL1344_0314	frsA	0.35041657	-1.03823138	0
SL1344_0317	proB	1.97e-10	-15	2
SL1344_0318	proA	0.99807879	-0.12343672	0
SL1344_0320	dhaF	0.663460794	0.674150296	0
SL1344_0329	SL1344_0329	0.204223547	-1.520832163	0
SL1344_0331	stbE	0.000411384	-3.25954542	2
SL1344_0332	stbD	4.56e-06	-15	2
SL1344_0333	stbC	0.566039693	0.744713462	0
SL1344_0335	stbA	2.3e-07	-15	2
SL1344_0336	SL1344_0336	2.46e-06	-15	2
SL1344_0337	SL1344_0337	2.25e-08	-15	2
SL1344_0338	SL1344_0338	8.47e-14	-4.512017824	2
SL1344_0339	SL1344_0339	3.55e-11	-15	2
SL1344_0340	SL1344_0340	4.08e-09	-15	2
SL1344_0343	SL1344_0343	0.23748234	2.458228965	0
SL1344_0344	SL1344_0344	0.186711521	-1.685602553	0
SL1344_0346	SL1344_0346	0.137156931	1.910386546	0
SL1344_0348	SL1344_0348	0.173730344	1.913203491	0
SL1344_0351	SL1344_0351	0.011809568	-15	2
SL1344_0352	mod	4.25e-20	-6.252705731	2
SL1344_0353	res	9.24e-07	-15	2
SL1344_0355	SL1344_0355	0.166698633	1.386058432	0
SL1344_0356	SL1344_0356	0.882053476	0.211115356	0
SL1344_0359	foxA	0.584954568	-0.689043023	0
SL1344_0360	yahN	0.001111159	-5.228651412	2
SL1344_0362	prpR	5.18e-05	-5.608295005	2
SL1344_0363	prpB	0.887437908	0.560265961	0
SL1344_0368	yaiU	1.6e-11	-15	2
SL1344_0369	yaiV	3.26e-13	-5.017801983	2
SL1344_0370	ampH	0.604376823	0.878902731	0
SL1344_0371	sbmA	0.167541701	5.639366793	0
SL1344_0375	ddlA	0.615222297	0.617383978	0
SL1344_0377	SL1344_0377	0.986014279	-0.036832625	0
SL1344_0379	psiF	0.519965597	-0.765512652	0
SL1344_0380	adrA	0.665550167	-0.542240102	0
SL1344_0383	aroL	0.85359238	0.282394873	0
SL1344_0385	aroM	0.345557453	-1.044245824	0
SL1344_0387	rdgC	0.009150442	-2.334559168	2
SL1344_0390	sbcC	0.569507896	-0.705237402	0
SL1344_0391	sbcD	0.54400392	1.011790454	0
SL1344_0392	phoB	0.740717911	0.42395504	0
SL1344_0393	phoR	0.351600066	1.195762383	0
SL1344_0394	brnQ	0.423043925	-1.534595886	0
SL1344_0396	malZ	0.568710761	0.688792962	0
SL1344_0399	queA	0.209943522	-1.303341479	0
SL1344_0400	tgt	0.000238325	-2.767846115	2
SL1344_0401	yajC	0.021893419	-15	2
SL1344_0407	tsx	0.820269122	-0.316626027	0
SL1344_0408	yajI	0.030603331	-2.105268996	2
SL1344_0409	nrdR	0.021591611	-2.406038607	2
SL1344_0415	yajO	0.991346612	0.030492741	0
SL1344_0419	thiI	0.653808547	-0.559834162	0
SL1344_0422	phnT	0.116478548	2.541741282	0
SL1344_0426	phnX	0.065360946	2.36605561	0
SL1344_0427	thiJ	0.562274826	1.187455899	0
SL1344_0429	yajQ	0.948993812	-0.1130847	0
SL1344_0430	yajR	0.514346636	0.806571062	0
SL1344_0431	SL1344_0431	9.4e-23	-15	2
SL1344_0432	SL1344_0432	1.66e-07	-15	2
SL1344_0433	cyoE	0.255778243	-1.490559152	0
SL1344_0434	cyoD	0.115402416	2.14124622	0
SL1344_0436	cyoB	0.566039693	0.740137051	0
SL1344_0437	cyoA	0.052566913	2.733965021	0
SL1344_0438	ampG	0.104020734	1.896492954	0
SL1344_0440	bolA	0.042200963	-2.224805932	2
SL1344_0441	tig	0.135899393	-0.90058562	0
SL1344_0443	clpX	0.006562821	-3.750078256	2
SL1344_0445	hupB	0.002129339	-3.856016355	2
SL1344_0446	cypD	0.257594114	1.430127909	0
SL1344_0447	comE1	0.587464845	0.707986527	0
SL1344_0449	ybaX	0.93097284	0.124933616	0
SL1344_0450	ybaE	0.125805048	3.205545409	0
SL1344_0451	cof	0.363606694	1.690364189	0
SL1344_0452	SL1344_0452	0.709898995	0.436431949	0
SL1344_0454	mdlA	0.350419784	2.874929214	0
SL1344_0455	mdlB	0.410617027	1.309189669	0
SL1344_0457	amtB	0.948186023	-0.101606867	0
SL1344_0459	ybaY	0.443025206	1.440506216	0
SL1344_0461	ylaB	0.252500828	2.402142156	0
SL1344_0462	rpmE2	0.764939535	0.516004605	0
SL1344_0465	maa	0.132102531	1.67556505	0
SL1344_0466	hha	2.1e-17	-5.719452865	2
SL1344_0467	ybaJ	5.24e-07	-15	2
SL1344_0470	acrR	0.702665622	-0.487764462	0
SL1344_0471	aefA	0.030319931	-2.019198046	2
SL1344_0472	SL1344_0472	0.121228354	1.924606892	0
SL1344_0473	ybaM	0.967024823	0.072281179	0
SL1344_0474	priC	0.539477572	1.368821727	0
SL1344_0478	ybaB	0.015361025	-3.105794664	2
SL1344_0480	htpG	0.013605998	-3.335040756	2
SL1344_0484	gsk	0.3828305	1.060519084	0
SL1344_0485	ybaL	0.605913792	-0.636733433	0
SL1344_0487	ushA	0.395622047	1.293577516	0
SL1344_0488	ybaK	0.168898569	-1.451091092	0
SL1344_0491	copA	0.049363111	-5.028979067	2
SL1344_0493	ybbJ	0.311225893	1.269865415	0
SL1344_0495	ybbL	3.07e-21	-7.118531404	2
SL1344_0497	ybbN	0.257200195	1.403833134	0
SL1344_0498	ybbO	0.681005804	0.538867276	0
SL1344_0499	tesA	0.590517765	1.162305363	0
